Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Host,Collection_Date,binding_label,Year
EPI_ISL_161922,EPI529663|A/Kowloon/INS3_690/2011,A_Kowloon_INS3_690_2011,A_/_H1,Human,2011-03-10,1,2011
EPI_ISL_294954,EPI1193368|A/Bean_Goose/Hubei/chenhu_IX1/2015,A_Bean_Goose_Hubei_chenhu_IX1_2015,A_/_H1N1,Anser fabalis,2015-02-05,0,2015
EPI_ISL_4031244,EPI1889960|A/China/SWL1666/2018,A_China_SWL1666_2018,A_/_H1N1,Human,2018-06-19,1,2018
EPI_ISL_4031243,EPI1889959|A/China/SWL119/2018,A_China_SWL119_2018,A_/_H1N1,Human,2018-01-03,1,2018
EPI_ISL_4031242,EPI1889958|A/China/SWL1586/2018,A_China_SWL1586_2018,A_/_H1N1,Human,2018-05-29,1,2018
EPI_ISL_4031241,EPI1889957|A/China/SWL1715/2018,A_China_SWL1715_2018,A_/_H1N1,Human,2018-07-04,1,2018
EPI_ISL_4031240,EPI1889956|A/China/SWL1708/2018,A_China_SWL1708_2018,A_/_H1N1,Human,2018-07-22,1,2018
EPI_ISL_4031238,EPI1889955|A/China/SWL1768/2018,A_China_SWL1768_2018,A_/_H1N1,Human,2018-07-20,1,2018
EPI_ISL_4031237,EPI1889954|A/China/SWL1766/2018,A_China_SWL1766_2018,A_/_H1N1,Human,2018-07-22,1,2018
EPI_ISL_4031236,EPI1889953|A/China/SWL1765/2018,A_China_SWL1765_2018,A_/_H1N1,Human,2018-07-22,1,2018
EPI_ISL_4031235,EPI1889952|A/China/SWL1763/2018,A_China_SWL1763_2018,A_/_H1N1,Human,2018-07-21,1,2018
EPI_ISL_4031234,EPI1889951|A/China/SWL1762/2018,A_China_SWL1762_2018,A_/_H1N1,Human,2018-07-21,1,2018
EPI_ISL_4031233,EPI1889950|A/China/SWL1288/2018,A_China_SWL1288_2018,A_/_H1N1,Human,2018-03-13,1,2018
EPI_ISL_4031232,EPI1889949|A/China/SWL115/2018,A_China_SWL115_2018,A_/_H1N1,Human,2018-01-03,1,2018
EPI_ISL_4031231,EPI1889948|A/China/SWL116/2018,A_China_SWL116_2018,A_/_H1N1,Human,2018-01-03,1,2018
EPI_ISL_4031230,EPI1889947|A/China/SWL118/2018,A_China_SWL118_2018,A_/_H1N1,Human,2018-01-03,1,2018
EPI_ISL_4031229,EPI1889946|A/China/SWL332/2017,A_China_SWL332_2017,A_/_H1N1,Human,2017-05-13,1,2017
EPI_ISL_4031228,EPI1889945|A/China/SWL331/2017,A_China_SWL331_2017,A_/_H1N1,Human,2017-05-13,1,2017
EPI_ISL_4031227,EPI1889944|A/China/SWL329/2017,A_China_SWL329_2017,A_/_H1N1,Human,2017-05-13,1,2017
EPI_ISL_4031226,EPI1889943|A/China/SWL327/2017,A_China_SWL327_2017,A_/_H1N1,Human,2017-05-08,1,2017
EPI_ISL_4031225,EPI1889942|A/China/SWL326/2017,A_China_SWL326_2017,A_/_H1N1,Human,2017-05-08,1,2017
EPI_ISL_4031224,EPI1889941|A/China/SWL324/2017,A_China_SWL324_2017,A_/_H1N1,Human,2017-05-08,1,2017
EPI_ISL_4031223,EPI1889940|A/China/SWL1621/2017,A_China_SWL1621_2017,A_/_H1N1,Human,2017-05-30,1,2017
EPI_ISL_4031222,EPI1889939|A/China/SWL1620/2017,A_China_SWL1620_2017,A_/_H1N1,Human,2017-05-30,1,2017
EPI_ISL_4031221,EPI1889938|A/China/SWL1618/2017,A_China_SWL1618_2017,A_/_H1N1,Human,2017-05-29,1,2017
EPI_ISL_4031220,EPI1889937|A/China/SWL11043/2017,A_China_SWL11043_2017,A_/_H1N1,Human,2017-09-27,1,2017
EPI_ISL_4031219,EPI1889936|A/China/SWL1614/2017,A_China_SWL1614_2017,A_/_H1N1,Human,2017-05-28,1,2017
EPI_ISL_4031218,EPI1889935|A/China/SWL1612/2017,A_China_SWL1612_2017,A_/_H1N1,Human,2017-05-28,1,2017
EPI_ISL_4031217,EPI1889934|A/China/SWL1609/2017,A_China_SWL1609_2017,A_/_H1N1,Human,2017-05-27,1,2017
EPI_ISL_4031216,EPI1889933|A/China/SWL1615/2017,A_China_SWL1615_2017,A_/_H1N1,Human,2017-05-02,1,2017
EPI_ISL_4031215,EPI1889932|A/China/SWL330/2017,A_China_SWL330_2017,A_/_H1N1,Human,2017-05-13,1,2017
EPI_ISL_4031214,EPI1889931|A/China/SWL333/2017,A_China_SWL333_2017,A_/_H1N1,Human,2017-05-28,1,2017
EPI_ISL_4031213,EPI1889930|A/China/SWL1895/2017,A_China_SWL1895_2017,A_/_H1N1,Human,2017-08-16,1,2017
EPI_ISL_4031212,EPI1889929|A/China/SWL1603/2017,A_China_SWL1603_2017,A_/_H1N1,Human,2017-05-27,1,2017
EPI_ISL_4031211,EPI1889928|A/China/SWL1505/2017,A_China_SWL1505_2017,A_/_H1N1,Human,2017-05-02,1,2017
